Name, T  K, B12  cm3/ mol
Dichlorodifluoromethane+Chlorodifluoromethane, 233, -605
Dichlorodifluoromethane+Chlorodifluoromethane, 243, -546
Dichlorodifluoromethane+Chlorodifluoromethane, 253, -499
Dichlorodifluoromethane+Chlorodifluoromethane, 263, -454
Dichlorodifluoromethane+Chlorodifluoromethane, 273, -417
Dichlorodifluoromethane+Chlorodifluoromethane, 296.15, -347
Dichlorodifluoromethane+Chlorodifluoromethane, 296.2, -350
Dichlorodifluoromethane+Chlorodifluoromethane, 300.5, -379
Dichlorodifluoromethane+Chlorodifluoromethane, 300.5, -371
Dichlorodifluoromethane+Chlorodifluoromethane, 300.5, -362
Dichlorodifluoromethane+Chlorodifluoromethane, 353.15, -230
Dichlorodifluoromethane+Chlorodifluoromethane, 413.15, -158
Dichlorodifluoromethane+Chlorodifluoromethane, 473.15, -112
Tetrachloromethane+Methane, 273.2, -252
Tetrachloromethane+Methane, 298.2, -205
Tetrachloromethane+Methane, 323.2, -174
Tetrachloromethane+Methane, 348.2, -129
Tetrachloromethane+Ethene, 273.2, -457
Tetrachloromethane+Ethene, 298.2, -384
Tetrachloromethane+Ethene, 323.2, -299
Tetrachloromethane+Ethene, 348.2, -248
Tetrachloromethane+Benzene, 353.2, -1014
Tetrachloromethane+Benzene, 363.2, -939
Tetrachloromethane+Benzene, 363.2, -940
Tetrachloromethane+Benzene, 363.2, -953
Tetrachloromethane+Benzene, 373.2, -898
Tetrachloromethane+Benzene, 383.2, -848
Tetrachloromethane+Benzene, 403.2, -759
Tetrachloromethane+Benzene, 423.2, -684
Tetrachloromethane+Cyclohexane, 353.2, -1047
Tetrachloromethane+Cyclohexane, 363.2, -984
Tetrachloromethane+Cyclohexane, 373.2, -928
Tetrachloromethane+Cyclohexane, 383.2, -876
Tetrachloromethane+Cyclohexane, 403.2, -784
Tetrachloromethane+Cyclohexane, 423.2, -715
Tetrafluoromethane+Trifluoromethane, 243.15, -159.3
Tetrafluoromethane+Trifluoromethane, 273.15, -122.7
Tetrafluoromethane+Trifluoromethane, 313.15, -85.3
Tetrafluoromethane+Trifluoromethane, 368.15, -51.1
Tetrafluoromethane+Methane, 273.15, -62.1
Tetrafluoromethane+Methane, 290, -52.4
Tetrafluoromethane+Methane, 296.15, -52.5
Tetrafluoromethane+Methane, 298.15, -48.5
Tetrafluoromethane+Methane, 298.15, -52
Tetrafluoromethane+Methane, 300, -47.5
Tetrafluoromethane+Methane, 303.15, -46.1
Tetrafluoromethane+Methane, 320, -37.6
Tetrafluoromethane+Methane, 323.15, -37.4
Tetrafluoromethane+Methane, 323.15, -39
Tetrafluoromethane+Methane, 348.15, -28.3
Tetrafluoromethane+Methane, 373.15, -20.4
Tetrafluoromethane+Methane, 373.15, -22
Tetrafluoromethane+Methane, 398.15, -14
Tetrafluoromethane+Methane, 423.15, -8.3
Tetrafluoromethane+Methane, 448.15, -3.2
Tetrafluoromethane+Methane, 473.15, 1
Tetrafluoromethane+Methane, 498.15, 4.9
Tetrafluoromethane+Methane, 523.15, 8.3
Tetrafluoromethane+Methane, 548.15, 11.4
Tetrafluoromethane+Methane, 573.15, 14.1
Tetrafluoromethane+Methane, 598.15, 16.6
Tetrafluoromethane+Methane, 623.15, 18.9
Tetrafluoromethane+Ethane, 290, -107.7
Tetrafluoromethane+Ethane, 300, -98.6
Tetrafluoromethane+Ethane, 320, -81.5
Tetrafluoromethane+Ethane, 323.15, -87
Chlorodifluoromethane+1 2-Dichloro-1 1 2 2-tetrafluoroethane, 243.15, -776
Chlorodifluoromethane+1 2-Dichloro-1 1 2 2-tetrafluoroethane, 253.15, -689
Chlorodifluoromethane+1 2-Dichloro-1 1 2 2-tetrafluoroethane, 263.15, -630
Chlorodifluoromethane+1 2-Dichloro-1 1 2 2-tetrafluoroethane, 273.15, -582
Chlorodifluoromethane+1 2-Dichloro-1 1 2 2-tetrafluoroethane, 296.15, -478
Chlorodifluoromethane+1 2-Dichloro-1 1 2 2-tetrafluoroethane, 296.15, -472
Chlorodifluoromethane+1 2-Dichloro-1 1 2 2-tetrafluoroethane, 330, -394
Chlorodifluoromethane+1 2-Dichloro-1 1 2 2-tetrafluoroethane, 340, -366
Chlorodifluoromethane+1 2-Dichloro-1 1 2 2-tetrafluoroethane, 350, -342
Chlorodifluoromethane+1 2-Dichloro-1 1 2 2-tetrafluoroethane, 353.15, -319
Chlorodifluoromethane+1 2-Dichloro-1 1 2 2-tetrafluoroethane, 360, -319
Chlorodifluoromethane+1 2-Dichloro-1 1 2 2-tetrafluoroethane, 370, -299
Chlorodifluoromethane+1 2-Dichloro-1 1 2 2-tetrafluoroethane, 380, -281
Chlorodifluoromethane+1 2-Dichloro-1 1 2 2-tetrafluoroethane, 390, -265
Chlorodifluoromethane+1 2-Dichloro-1 1 2 2-tetrafluoroethane, 400, -250
Chlorodifluoromethane+1 2-Dichloro-1 1 2 2-tetrafluoroethane, 410, -236
Chlorodifluoromethane+1 2-Dichloro-1 1 2 2-tetrafluoroethane, 413.15, -225
Chlorodifluoromethane+1 2-Dichloro-1 1 2 2-tetrafluoroethane, 420, -224
Chlorodifluoromethane+1 2-Dichloro-1 1 2 2-tetrafluoroethane, 430, -213
Chlorodifluoromethane+1 2-Dichloro-1 1 2 2-tetrafluoroethane, 440, -202
Chlorodifluoromethane+1 2-Dichloro-1 1 2 2-tetrafluoroethane, 473.15, -165
Chlorodifluoromethane+1-Chloro-1 1-difluoroethane, 248.15, -789
Chlorodifluoromethane+1-Chloro-1 1-difluoroethane, 258.15, -707
Chlorodifluoromethane+1-Chloro-1 1-difluoroethane, 273.15, -607
Chlorodifluoromethane+1-Chloro-1 1-difluoroethane, 296.15, -494
Chlorodifluoromethane+1-Chloro-1 1-difluoroethane, 296.15, -488
Chlorodifluoromethane+1-Chloro-1 1-difluoroethane, 353.15, -321
Chlorodifluoromethane+1-Chloro-1 1-difluoroethane, 413.15, -225
Chlorodifluoromethane+1-Chloro-1 1-difluoroethane, 473.15, -165
Chlorodifluoromethane+1 1-Difluoroethane, 233.15, -999
Chlorodifluoromethane+1 1-Difluoroethane, 253.15, -753
Chlorodifluoromethane+1 1-Difluoroethane, 273.15, -593
Chlorodifluoromethane+1 1-Difluoroethane, 296.15, -471
Chlorodifluoromethane+1 1-Difluoroethane, 296.15, -465
Chlorodifluoromethane+1 1-Difluoroethane, 353.15, -293
Chlorodifluoromethane+1 1-Difluoroethane, 413.15, -199
Chlorodifluoromethane+1 1-Difluoroethane, 473.15, -143
Trichloromethane+Dimethyl ether, 333.2, -930
Trichloromethane+Dimethyl ether, 343.2, -825
Trichloromethane+Dimethyl ether, 353.2, -735
Trichloromethane+Dimethyl ether, 363.2, -660
Trichloromethane+Dimethyl ether, 373.2, -600
Trichloromethane+Dimethyl ether, 393.2, -500
Trichloromethane+Propanone, 298, -2623
Trichloromethane+Propanone, 298, -2620
Trichloromethane+Propanone, 308, -2179
Trichloromethane+Propanone, 308, -2180
Trichloromethane+Propanone, 323, -1706
Trichloromethane+Propanone, 323, -1705
Trichloromethane+Propanone, 323.3, -1735
Trichloromethane+Propanone, 327.8, -1543
Trichloromethane+Propanone, 333.2, -2005
Trichloromethane+Propanone, 333.2, -1439
Trichloromethane+Propanone, 336.5, -1358
Trichloromethane+Propanone, 338.2, -1319
Trichloromethane+Propanone, 343.2, -1300
Trichloromethane+Propanone, 343.2, -1243
Trichloromethane+Propanone, 348, -1207
Trichloromethane+Propanone, 348, -1212
Trichloromethane+Propanone, 353.2, -1087
Trichloromethane+Propanone, 358.15, -1118
Trichloromethane+Propanone, 358.15, -1130
Trichloromethane+Propanone, 363.2, -971
Trichloromethane+Propanone, 373, -896
Trichloromethane+Propanone, 373, -904
Trichloromethane+Propanone, 373.2, -866
Trichloromethane+Propanone, 378.2, -819
Trichloromethane+Propanone, 383.2, -995
Trichloromethane+Propanone, 393.2, -930
Trichloromethane+Propanone, 393.2, -712
Trichloromethane+Methyl ethanoate, 323.2, -1615
Trichloromethane+Methyl ethanoate, 338.2, -1475
Trichloromethane+Methyl ethanoate, 353.2, -1333
Trichloromethane+Methyl ethanoate, 368.2, -1240
Trichloromethane+Propyl methanoate, 324.2, -1890
Trichloromethane+Propyl methanoate, 335.2, -1667
Trichloromethane+Propyl methanoate, 353.2, -1321
Trichloromethane+Propyl methanoate, 368.2, -1133
Trichloromethane+Ethyl ethanoate, 323.2, -2150
Trichloromethane+Ethyl ethanoate, 338.2, -1720
Trichloromethane+Ethyl ethanoate, 353.2, -1495
Trichloromethane+Ethyl ethanoate, 368.2, -1380
Trichloromethane+Diethyl ether, 323.2, -1504
Trichloromethane+Diethyl ether, 326.2, -1520
Trichloromethane+Diethyl ether, 333.2, -1321
Trichloromethane+Diethyl ether, 338, -1290
Trichloromethane+Diethyl ether, 338.2, -1243
Trichloromethane+Diethyl ether, 352, -1030
Trichloromethane+Diethyl ether, 353.2, -1054
Trichloromethane+Diethyl ether, 363, -870
Trichloromethane+Diethyl ether, 363.2, -954
Trichloromethane+Diethyl ether, 378.2, -836
Trichloromethane+Diethyl ether, 393, -500
Trichloromethane+Diethyl ether, 393.2, -739
Trichloromethane+Benzene, 353.15, -1133
Trichloromethane+Benzene, 353.2, -1010
Trichloromethane+Benzene, 363.15, -1048
Trichloromethane+Benzene, 363.2, -936
Trichloromethane+Benzene, 373.15, -994
Trichloromethane+Benzene, 373.2, -871
Trichloromethane+Benzene, 383.15, -943
Trichloromethane+Benzene, 383.2, -813
Trichloromethane+Benzene, 393.2, -761
Trichloromethane+Benzene, 403.2, -715
Trichloromethane+Benzene, 413.2, -674
Trichloromethane+Benzene, 423.2, -636
Trichloromethane+Cyclohexane, 353.2, -844
Trichloromethane+Cyclohexane, 363.2, -798
Trichloromethane+Cyclohexane, 373.2, -749
Trichloromethane+Cyclohexane, 383.2, -697
Trichloromethane+Cyclohexane, 393.2, -665
Trichloromethane+Cyclohexane, 403.2, -625
Trichloromethane+Cyclohexane, 413.2, -595
Trichloromethane+Cyclohexane, 423.2, -568
Trichloromethane+Triethylamine, 308, -3170
Trichloromethane+Triethylamine, 323, -1960
Trichloromethane+Triethylamine, 348, -1340
Trichloromethane+Triethylamine, 373, -1030
Dichloromethane+Benzene, 353.2, -840
Dichloromethane+Benzene, 363.2, -784
Dichloromethane+Benzene, 373.2, -735
Dichloromethane+Benzene, 383.2, -691
Dichloromethane+Benzene, 393.2, -651
Dichloromethane+Benzene, 403.2, -615
Dichloromethane+Benzene, 413.2, -582
Dichloromethane+Benzene, 423.2, -553
Dichloromethane+Benzene, 433.2, -525
Dichloromethane+Benzene, 443.2, -500
Dichloromethane+Benzene, 453.2, -477
Dichloromethane+Cyclohexane, 353.2, -619
Dichloromethane+Cyclohexane, 363.2, -593
Dichloromethane+Cyclohexane, 373.2, -588
Dichloromethane+Cyclohexane, 383.2, -521
Dichloromethane+Cyclohexane, 393.2, -495
Dichloromethane+Cyclohexane, 403.2, -474
Dichloromethane+Cyclohexane, 413.2, -448
Dichloromethane+Cyclohexane, 423.2, -422
Dichloromethane+Cyclohexane, 433.2, -400
Dichloromethane+Cyclohexane, 443.2, -392
Dichloromethane+Cyclohexane, 453.2, -372
Bromomethane+Propane, 244, -617
Bromomethane+Propane, 273, -474
Bromomethane+Propane, 297, -411
Bromomethane+Propane, 321, -356
Bromomethane+Butane, 244, -915
Bromomethane+Butane, 273, -661
Bromomethane+Butane, 297, -546
Bromomethane+Butane, 321, -459
Chloromethane+Ethane, 323.15, -206.6
Chloromethane+Ethane, 348.15, -171.1
Chloromethane+Ethane, 373.15, -148.6
Chloromethane+Ethane, 398.15, -126.3
Chloromethane+Ethane, 423.15, -111.5
Chloromethane+Ethane, 448.15, -97.9
Chloromethane+Ethane, 473.15, -85.6
Chloromethane+Propanone, 323.15, -670
Chloromethane+Propanone, 327.05, -649
Chloromethane+Propanone, 352.49, -507
Chloromethane+Propanone, 376.38, -433
Chloromethane+Propanone, 400.72, -367
Chloromethane+Propanone, 427.78, -315
Chloromethane+Benzene, 353.2, -542
Chloromethane+Benzene, 358.2, -527
Chloromethane+Benzene, 363.2, -513
Chloromethane+Benzene, 368.2, -500
Chloromethane+Benzene, 373.2, -488
Chloromethane+Benzene, 378.2, -476
Chloromethane+Benzene, 383.2, -464
Chloromethane+Benzene, 393.2, -442
Chloromethane+Benzene, 403.2, -423
Chloromethane+Benzene, 413.2, -404
Chloromethane+Benzene, 423.2, -387
Chloromethane+Cyclohexane, 353.2, -383
Chloromethane+Cyclohexane, 358.2, -371
