Name, T  K, B12  cm^3*mol^-1
Chlorotrifluoromethane+Trichlorofluoromethane, 302.2, -448.4
Chlorotrifluoromethane+Trichlorofluoromethane, 302.2, -427.5
Chlorotrifluoromethane+Chlorodifluoromethane, 300.7, -275.3
Chlorotrifluoromethane+Chlorodifluoromethane, 300.7, -265.9
Chlorotrifluoromethane+Trifluoromethane, 300.3, -163
Chlorotrifluoromethane+Trifluoromethane, 300.31, -170.4
Dichlorodifluoromethane+Trichlorofluoromethane, 302.2, -446.4
Dichlorodifluoromethane+Trichlorofluoromethane, 302.2, -432.2
Dichlorodifluoromethane+Trifluoromethane, 300.5, -297.7
Dichlorodifluoromethane+Trifluoromethane, 300.5, -300.7
Dichlorodifluoromethane+Trifluoromethane, 300.5, -293.8
Trichlorofluoromethane+Trifluoromethane, 302.2, -247.6
Trichlorofluoromethane+Trifluoromethane, 302.2, -239
Tetrachloromethane+1-Propanol, 293.15, -1600
Tetrachloromethane+1-Propanol, 303.15, -1500
Tetrachloromethane+1-Propanol, 313.15, -1350
Tetrafluoromethane+Hexafluoroethane, 323.15, -120
Tetrafluoromethane+Hexafluoroethane, 373.15, -70
Tetrafluoromethane+Octafluoropropane, 323.15, -179
Tetrafluoromethane+Octafluoropropane, 373.15, -113
Tetrafluoromethane+Decafluorobutane, 323.15, -224
Tetrafluoromethane+Decafluorobutane, 373.15, -141
Tetrafluoromethane+Butane, 323.15, -166
Tetrafluoromethane+Dodecafluoropentane, 323.15, -259
Tetrafluoromethane+Dodecafluoropentane, 373.15, -173
Tetrafluoromethane+2 2-Dimethylpropane, 323.15, -234
Tetrafluoromethane+Tetradecafluorohexane, 323.15, -277
Tetrafluoromethane+Tetradecafluorohexane, 373.15, -196
Tetrafluoromethane+Hexane, 323.15, -255
Chlorodifluoromethane+Trifluoromethane, 300.3, -261
Chlorodifluoromethane+Trifluoromethane, 300.31, -252.8
Chlorodifluoromethane+1 1-Dichloro-2 2 2-trifluoroethane, 268.15, -825
Chlorodifluoromethane+1 1-Dichloro-2 2 2-trifluoroethane, 296.15, -654
Trichloromethane+Methane, 298.15, -199
Trichloromethane+Ethene, 298.15, -373
