Compound,"B, cm3/mol^-1","T, K",,,,,
Bromotrifluoromethane,-304,293.06,,,,,
Bromotrifluoromethane,-278,303.14,,,,,
Bromotrifluoromethane,-269,313.15,,,,,
Bromotrifluoromethane,-252,323.15,,,,,
Bromotrifluoromethane,-236,333.15,,,,,
Bromotrifluoromethane,-229,343.15,,,,,
Bromotrifluoromethane,-232,348.15,,,,,
Bromotrifluoromethane,-207,353.14,,,,,
Bromotrifluoromethane,-208,363.15,,,,,
Bromotrifluoromethane,-200,373.13,,,,,
Bromotrifluoromethane,-194,383.15,,,,,
Bromotrifluoromethane,-187,393.15,,,,,
Chlorotrifluoromethane,-414.2,223.15,,,,,
Chlorotrifluoromethane,-393.8,233.15,,,,,
Chlorotrifluoromethane,-377.6,233.15,,,,,
Chlorotrifluoromethane,-345.8,243.15,,,,,
Chlorotrifluoromethane,-355.1,244.26,,,,,
Chlorotrifluoromethane,-317.9,253.15,,,,,
Chlorotrifluoromethane,-321.3,255.37,,,,,
Chlorotrifluoromethane,-293.1,263.15,,,,,
Chlorotrifluoromethane,-288.2,266.48,,,,,
Chlorotrifluoromethane,-271.1,273.15,,,,,
Chlorotrifluoromethane,-261.2,277.59,,,,,
Chlorotrifluoromethane,-251.4,283.15,,,,,
Chlorotrifluoromethane,-238.6,288.71,,,,,
Chlorotrifluoromethane,-233.5,293.15,,,,,
Chlorotrifluoromethane,-225.5,298.15,,,,,
Chlorotrifluoromethane,-219.8,299.82,,,,,
Chlorotrifluoromethane,-220.4,303.15,,,,,
Chlorotrifluoromethane,-217.2,303.15,,,,,
Chlorotrifluoromethane,-202.8,310.93,,,,,
Chlorotrifluoromethane,-202.2,313.15,,,,,
Chlorotrifluoromethane,-183.5,322.04,,,,,
Chlorotrifluoromethane,-186.5,323.15,,,,,
Chlorotrifluoromethane,-185,323.15,,,,,
Chlorotrifluoromethane,-188.4,323.15,,,,,
Chlorotrifluoromethane,-171,333.15,,,,,
Chlorotrifluoromethane,-175.6,333.15,,,,,
Chlorotrifluoromethane,-163.8,343.15,,,,,
Chlorotrifluoromethane,-162.6,344.26,,,,,
Chlorotrifluoromethane,-157.3,348.15,,,,,
Chlorotrifluoromethane,-152.6,353.15,,,,,
Chlorotrifluoromethane,-152,355.37,,,,,
Chlorotrifluoromethane,-142,363.15,,,,,
Chlorotrifluoromethane,-139.8,366.48,,,,,
Chlorotrifluoromethane,-135,369.45,,,,,
Chlorotrifluoromethane,-132.9,373.15,,,,,
Chlorotrifluoromethane,-132.1,373.15,,,,,
Chlorotrifluoromethane,-129.3,377.59,,,,,
Chlorotrifluoromethane,-121.3,388.71,,,,,
Chlorotrifluoromethane,-112.8,398.15,,,,,
Chlorotrifluoromethane,-112.2,399.82,,,,,
Chlorotrifluoromethane,-105,404.75,,,,,
Chlorotrifluoromethane,-104,410.93,,,,,
Chlorotrifluoromethane,-96.2,422.04,,,,,
Chlorotrifluoromethane,-95.2,423.15,,,,,
Chlorotrifluoromethane,-90.4,433.15,,,,,
Chlorotrifluoromethane,-84.4,444.26,,,,,
Chlorotrifluoromethane,-78,455.37,,,,,
Chlorotrifluoromethane,-71.2,466.48,,,,,
Chlorotrifluoromethane,-64.8,477.59,,,,,
Chlorotrifluoromethane,-59.3,488.71,,,,,
Chlorotrifluoromethane,-54.6,499.82,,,,,
Chlorotrifluoromethane,-51.5,510.93,,,,,
Chlorotrifluoromethane,-47.4,522.04,,,,,
Chlorotrifluoromethane,-40.3,533.15,,,,,
Dichlorodifluoromethane,-813,233,,,,,
Dichlorodifluoromethane,-732,243,,,,,
Dichlorodifluoromethane,-666,253,,,,,
Dichlorodifluoromethane,-610.6,260,,,,,
Dichlorodifluoromethane,-610,263,,,,,
Dichlorodifluoromethane,-559,273,,,,,
Dichlorodifluoromethane,-463,296.15,,,,,
Dichlorodifluoromethane,-469,296.2,,,,,
Dichlorodifluoromethane,-457,298.15,,,,,
Dichlorodifluoromethane,-452.3,300,,,,,
Dichlorodifluoromethane,-415,313.15,,,,,
Dichlorodifluoromethane,-384.2,323.15,,,,,
Dichlorodifluoromethane,-381,328.15,,,,,
Dichlorodifluoromethane,-367,330,,,,,
Dichlorodifluoromethane,-327.1,348.15,,,,,
Dichlorodifluoromethane,-321,353.15,,,,,
Dichlorodifluoromethane,-281,373.15,,,,,
Dichlorodifluoromethane,-282,373.15,,,,,
Dichlorodifluoromethane,-264.9,382.65,,,,,
Dichlorodifluoromethane,-263,384.7,,,,,
Dichlorodifluoromethane,-262,384.7,,,,,
Dichlorodifluoromethane,-262.6,385.5,,,,,
Dichlorodifluoromethane,-262.1,386.51,,,,,
Dichlorodifluoromethane,-255.4,390.42,,,,,
Dichlorodifluoromethane,-243.2,398.15,,,,,
Dichlorodifluoromethane,-244.3,398.15,,,,,
Dichlorodifluoromethane,-230.5,410.15,,,,,
Dichlorodifluoromethane,-230,413.15,,,,,
Dichlorodifluoromethane,-211.4,423.15,,,,,
Dichlorodifluoromethane,-213.3,423.15,,,,,
Dichlorodifluoromethane,-172,473.15,,,,,
Trichlorofluoromethane,-525.9,343.43,,,,,
Trichlorofluoromethane,-454.6,373.15,,,,,
Trichlorofluoromethane,-394.7,403.15,,,,,
Trichlorofluoromethane,-417.5,405.37,,,,,
Trichlorofluoromethane,-403.7,410.93,,,,,
Trichlorofluoromethane,-390.8,416.48,,,,,
Trichlorofluoromethane,-378.5,422.04,,,,,
Trichlorofluoromethane,-366,427.59,,,,,
Trichlorofluoromethane,-353.9,433.15,,,,,
Trichlorofluoromethane,-341.9,438.71,,,,,
